x,y
0.000000,0.000000 
0.100000,0.199833 
0.200000,0.398669 
0.300000,0.595520 
0.400000,0.789418 
0.500000,0.979426 
0.600000,1.164643 
0.700000,1.344218 
0.800000,1.517356 
0.900000,1.683327 
1.000000,1.841471 
1.100000,1.991208 
1.200000,2.132039 
1.300000,2.263558 
1.400000,2.385450 
1.500000,2.497495 
1.600000,2.599574 
1.700000,2.691665 
1.800000,2.773848 
1.900000,2.846300 
2.000000,2.909297 
2.100000,2.963209 
2.200000,3.008497 
2.300000,3.045705 
2.400000,3.075463 
2.500000,3.098472 
2.600000,3.115501 
2.700000,3.127380 
2.799999,3.134988 
2.899999,3.139249 
2.999999,3.141120 
3.099999,3.141581 
3.199999,3.141626 
3.299999,3.142254 
3.399999,3.144459 
3.499999,3.149217 
3.599999,3.157480 
3.699999,3.170164 
3.799999,3.188142 
3.899998,3.212233 
3.999998,3.243197 
4.099998,3.281722 
4.199998,3.328424 
4.299998,3.383833 
4.399998,3.448397 
4.499998,3.522468 
4.599998,3.606307 
4.699998,3.700075 
4.799998,3.803833 
4.899998,3.917545 
4.999998,4.041073 
5.099998,4.174182 
5.199997,4.316542 
5.299997,4.467729 
5.399997,4.627231 
5.499997,4.794455 
5.599997,4.968728 
5.699997,5.149309 
5.799997,5.335392 
5.899997,5.526117 
5.999997,5.720578 
6.099997,5.917830 
6.199996,6.116904 
6.299996,6.316807 
6.399996,6.516542 
6.499996,6.715113 
6.599996,6.911534 
6.699996,7.104842 
6.799996,7.294106 
6.899996,7.478432 
6.999996,7.656979 
7.099996,7.828962 
7.199996,7.993660 
7.299995,8.150430 
7.399995,8.298701 
7.499995,8.437994 
7.599995,8.567914 
7.699995,8.688163 
7.799995,8.798538 
7.899995,8.898936 
7.999995,8.989354 
8.099995,9.069886 
8.199995,9.140727 
8.299995,9.202169 
8.399996,9.254597 
8.499996,9.298486 
8.599997,9.334396 
8.699997,9.362968 
8.799997,9.384916 
8.899998,9.401021 
8.999998,9.412118 
9.099998,9.419098 
9.199999,9.422890 
9.299999,9.424455 
9.400000,9.424775 
9.500000,9.424849 
9.600000,9.425673 
9.700001,9.428240 
9.800001,9.433521 
9.900002,9.442464 
10.000002,9.455979 
10.100002,9.474930 
10.200003,9.500126 
10.300003,9.532315 
10.400003,9.572175 
10.500004,9.620306 
10.600004,9.677227 
10.700005,9.743368 
10.800005,9.819068 
10.900005,9.904569 
11.000006,10.000015 
11.100006,10.105454 
11.200006,10.220830 
11.300007,10.345989 
11.400007,10.480681 
11.500008,10.624559 
11.600008,10.777184 
11.700008,10.938030 
11.800009,11.106490 
11.900009,11.281879 
12.000010,11.463445 
12.100010,11.650372 
12.200010,11.841790 
12.300011,12.036789 
12.400011,12.234418 
12.500011,12.433701 
12.600012,12.633647 
12.700012,12.833257 
12.800013,13.031534 
12.900013,13.227500 
13.000013,13.420193 
13.100014,13.608687 
13.200014,13.792099 
13.300014,13.969595 
13.400015,14.140401 
13.500015,14.303809 
13.600016,14.459186 
13.700016,14.605978 
13.800016,14.743717 
13.900017,14.872028 
14.000017,14.990627 
14.100018,15.099328 
14.200018,15.198044 
14.300018,15.286787 
14.400019,15.365671 
14.500019,15.434907 
14.600019,15.494802 
14.700020,15.545756 
14.800020,15.588260 
14.900021,15.622888 
15.000021,15.650293 
15.100021,15.671201 
15.200022,15.686401 
15.300022,15.696742 
15.400023,15.703119 
15.500023,15.706468 
15.600023,15.707754 
15.700024,15.707963 
15.800024,15.708094 
15.900024,15.709142 
16.000025,15.712098 
16.100025,15.717931 
16.200026,15.727581 
16.300026,15.741952 
16.400026,15.761899 
16.500027,15.788222 
16.600027,15.821658 
16.700027,15.862870 
16.800028,15.912448 
16.900028,15.970894 
17.000029,16.038624 
17.100029,16.115959 
17.200029,16.203127 
17.300030,16.300257 
17.400030,16.407375 
17.500031,16.524412 
17.600031,16.651196 
17.700031,16.787462 
17.800032,16.932846 
17.900032,17.086893 
18.000032,17.249067 
18.100033,17.418743 
18.200033,17.595226 
18.300034,17.777754 
18.400034,17.965498 
18.500034,18.157585 
18.600035,18.353094 
18.700035,18.551071 
18.800035,18.750536 
18.900036,18.950495 
19.000036,19.149950 
19.100037,19.347906 
19.200037,19.543386 
19.300037,19.735435 
19.400038,19.923136 
19.500038,20.105608 
19.600039,20.282030 
19.700039,20.451637 
19.800039,20.613735 
19.900040,20.767704 
20.000040,20.913002 
20.100040,21.049177 
20.200041,21.175871 
20.300041,21.292812 
20.400042,21.399836 
20.500042,21.496868 
20.600042,21.583942 
20.700043,21.661184 
20.800043,21.728823 
20.900043,21.787182 
21.000044,21.836676 
21.100044,21.877811 
21.200045,21.911175 
21.300045,21.937433 
21.400045,21.957323 
21.500046,21.971645 
21.600046,21.981255 
21.700047,21.987055 
21.800047,21.989988 
21.900047,21.991022 
22.000048,21.991148 
22.100048,21.991364 
22.200048,21.992664 
22.300049,21.996038 
22.400049,22.002449 
22.500050,22.012833 
22.600050,22.028084 
22.700050,22.049049 
22.800051,22.076521 
22.900051,22.111221 
23.000051,22.153803 
23.100052,22.204842 
23.200052,22.264824 
23.300053,22.334150 
23.400053,22.413130 
23.500053,22.501968 
23.600054,22.600780 
23.700054,22.709576 
23.800055,22.828268 
23.900055,22.956671 
24.000055,23.094500 
24.100056,23.241377 
24.200056,23.396833 
24.300056,23.560316 
24.400057,23.731190 
24.500057,23.908747 
24.600058,24.092211 
24.700058,24.280750 
24.800058,24.473478 
24.900059,24.669470 
25.000059,24.867765 
25.100060,25.067383 
